cty,industry,industry_naics_code,industry_employment
1073,"Arts, entertainment, & recreation",71,0
1073,Accommodation & foodservices,72,24532
1073,Other services (except public administration),81,20260
1073,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1073,Unclassified,99,0
1075,"Agriculture, forestry, fishing, & hunting",11,159
1075,Mining,21,0
1075,Utilities,22,0
1075,Construction,23,117
1075,Manufacturing,31,1921
1075,Wholesale trade,42,71
1075,Retail Trade,44,413
1075,Transportation & Warehousing,48,512
1075,Information,51,0
1075,Finance & insurance,52,152
1075,Real estate & rental & leasing,53,0
1075,"Professional, scientific, & technical services",54,0
1075,Management of companies & enterprises,55,0
1075,Administrative & support & waste management & remediation serv,56,0
1075,Health care & social assistance,62,340
1075,"Arts, entertainment, & recreation",71,0
1075,Accommodation & foodservices,72,151
1075,Other services (except public administration),81,0
1075,Unclassified,99,0
1077,"Agriculture, forestry, fishing, & hunting",11,118
1077,Mining,21,13
1077,Utilities,22,0
1077,Construction,23,1428
1077,Manufacturing,31,6309
1077,Wholesale trade,42,1922
1077,Retail Trade,44,5400
1077,Transportation & Warehousing,48,291
1077,Information,51,523
1077,Finance & insurance,52,959
1077,Real estate & rental & leasing,53,286
1077,"Professional, scientific, & technical services",54,904
1077,Management of companies & enterprises,55,121
1077,Administrative & support & waste management & remediation serv,56,862
1077,Educational services,61,440
1077,Health care & social assistance,62,5241
1077,"Arts, entertainment, & recreation",71,289
1077,Accommodation & foodservices,72,2760
1077,Other services (except public administration),81,2918
1077,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1077,Unclassified,99,0
1079,"Agriculture, forestry, fishing, & hunting",11,77
1079,Mining,21,0
1079,Utilities,22,0
1079,Construction,23,256
1079,Manufacturing,31,1866
1079,Wholesale trade,42,99
1079,Retail Trade,44,745
1079,Transportation & Warehousing,48,167
1079,Information,51,0
1079,Finance & insurance,52,152
1079,Real estate & rental & leasing,53,0
1079,"Professional, scientific, & technical services",54,43
1079,Administrative & support & waste management & remediation serv,56,39
1079,Health care & social assistance,62,524
1079,Accommodation & foodservices,72,482
1079,Other services (except public administration),81,244
1079,Unclassified,99,0
1081,"Agriculture, forestry, fishing, & hunting",11,103
1081,Mining,21,0
1081,Utilities,22,161
1081,Construction,23,2167
1081,Manufacturing,31,6217
1081,Wholesale trade,42,818
1081,Retail Trade,44,5205
1081,Transportation & Warehousing,48,532
1081,Information,51,481
1081,Finance & insurance,52,810
1081,Real estate & rental & leasing,53,652
1081,"Professional, scientific, & technical services",54,698
1081,Management of companies & enterprises,55,0
